id,word,explanation,char_count;;;;;;;;;;;;;;;;;;;;;;;;;
273,becus,cakapan (tidak baku) cakap; mampu (mengerjakan sesuatu): karyawan yang tidak becus bekerja akan diganti,5;;;;;;;;;;;;;;;;;;;;;;;;
274,bedal,lepas dan lari (tentang kuda dan sebagainya),5;;;;;;;;;;;;;;;;;;;;;;;;;
277,bedegong,sombong; angkuh,8;;;;;;;;;;;;;;;;;;;;;;;;
278,begah,berasa penuh di perut karena terlalu kenyang dan sebagainya,5;;;;;;;;;;;;;;;;;;;;;;;;;
280,begandering,arkais (tidak lazim) rapat; sidang,11;;;;;;;;;;;;;;;;;;;;;;;;
"281,begar,""(1) tetap keras tidak dapat menjadi empuk (walaupun direbus atau diperam)"; (2) kiasan tidak dapat berubah lagi (tentang tabiat, kelakuan buruk);" (3) kasar (tentang buatan suatu benda)"",5";;;;;;;;;;;;;;;;;;;;;;;
283,bekah,klasik rekah; belah,5;;;;;;;;;;;;;;;;;;;;;;;;
284,bekat,banyak (rapat) sekali; sesak; pekat; tumpat,5;;;;;;;;;;;;;;;;;;;;;;
"287,belam,"", ter.be.lamverba (kata kerja) (1) menjadi kabur (tidak nyata, suram)";" (2) menjadi hilang dari pandangannomina (kata benda) palang atau kancing pintu (pagar dan sebagainya) "",5";;;;;;;;;;;;;;;;;;;;;;;;
"288,belel,""sudah pudar warnanya, rusak jahitannya (tentang pakaian)";" lusuh: ia pergi memakai celana panjang yang sudah belel dan bersandal jepit"",5";;;;;;;;;;;;;;;;;;;;;;;;
294,beloh,bodoh; dungu; tolol,5;;;;;;;;;;;;;;;;;;;;;;;
"296,belus,""mudah lulus (lepas) karena longgar (tentang celana, cincin, dan sebagainya) "",5";;;;;;;;;;;;;;;;;;;;;;;;;
297,benak,(1) berbunyi tidak nyaring atau tidak jernih (tentang mata uang); bengap; (2) kiasan sukar mengerti; bodoh,5;;;;;;;;;;;;;;;;;;;;;;
"298,benar,""(1) sesuai sebagaimana adanya (seharusnya)"; betul; tidak salah: apa yang dikatakannya itu benar; jawabannya benar semua; (2) tidak berat sebelah; adil: keputusan hakim hendaknya benar; (3) lurus (hati): orang ini amat benar; (4) dapat dipercaya (cocok dengan keadaan yang sesungguhnya); tidak bohong: karena diancam akan dibunuh, ia memberikan kesaksian yang tidak benar; (5) sah: keputusannya benar; (6) sangat; sekali;" sungguh: mahal benar buku ini"",5";;;;;;;;;;;;;
299,benar-benar,sungguh-sungguh: nasihat gurunya benar-benar dipegangnya,11;;;;;;;;;;;;;;;;;;;;;;;;;
300,benci,sangat tidak suka: saya benci kepada penjilat; ia benci benar kepada orang yang suka menonjolkan diri dan memburuk-burukkan orang lain,5;;;;;;;;;;;;;;;;;;;;;;;;
310,benggang,terbuka lebar (tentang mulut); bengong,8;;;;;;;;;;;;;;;;;;;;;;;;
318,bengkeng,mudah tersinggung,8;;;;;;;;;;;;;;;;;;;;;;;;;
323,bengu,berbau tidak sedap (seperti bau tembakau yang sudah lama disimpan),5;;;;;;;;;;;;;;;;;;;;;;;;;
333,berai,berpecah-pecah tidak keruan; cerai- berai: anak-anak lari berai mendengar bentakan itu,5;;;;;;;;;;;;;;;;;;;;;;;;
335,beraneka,bermacam; berbagai,8;;;;;;;;;;;;;;;;;;;;;;;;
"338,berantak,""be.ran.tak, be.ran.tak.an (1) cerai-berai (berserak-serak)"; tidak keruan letaknya: sungguh tidak sedap pemandangan di ruangan itu karena segala barang -;;;;;;;;;;;;;;;;;;;;;;;;
340,beraspirasi,disertai letupan napas yang cukup keras (tentang bunyi bahasa),11;;" (2) tidak terpelihara dengan baik: jika rumah tangga -, pendidikan anak-anak akan telantar"",8";;;;;;;;;;;;;;;;;;;;;;;
347,berdegap,degap,8;;;;;;;;;;;;;;;;;;;;;;;;;
349,berempak,rempak,8;;;;;;;;;;;;;;;;;;;;;;;;;
"352,beres,""(1) teratur baik-baik"; rapi;;;;;;;;;;;;;;;;;;;;;;;;
